system:index,Elev,Humidity,NBR,NDVI,NDWI,Slope,Temp,Wind_Dir,Wind_Spd,.geo
1704,2295,5.73791766166687,-0.13841576874256134,0.05424751341342926,-0.06133488193154335,41.78617858886719,7.521501870740963,27.290781592679664,0.7345030739855866,"{""type"":""Point"",""coordinates"":[-116.59981913876787,52.39859703724159]}"
1705,721,7.146654576586002,0.00615960406139493,0.1257489174604416,-0.16944365203380585,2.417250871658325,16.522546963942716,96.77507943728205,0.3342725114669771,"{""type"":""Point"",""coordinates"":[-113.53531833157614,53.304553775280226]}"
1706,785,6.082832683596678,0.22229386866092682,0.4091443419456482,-0.36909744143486023,2.440744638442993,15.234364119747227,-42.61671162228187,0.36780915447249085,"{""type"":""Point"",""coordinates"":[-115.46447818790523,54.27740058978847]}"
1707,958,6.561975257438519,0.3549483120441437,0.49146175384521484,-0.4346020519733429,2.4407169818878174,14.83166540212801,31.20593137286545,0.34298842401189256,"{""type"":""Point"",""coordinates"":[-117.00022582871256,54.27637940772248]}"
1708,932,6.225758816066502,0.34302327036857605,0.4517788290977478,-0.4048246443271637,5.619022846221924,14.709241728197071,-15.012204973769055,0.4569539097105378,"{""type"":""Point"",""coordinates"":[-115.18336772694586,54.6334623317349]}"
1709,683,6.2018651585830185,0.4499732553958893,0.5197640061378479,-0.457563191652298,3.674290418624878,15.952379556287838,-35.096642307939156,0.2548816153761778,"{""type"":""Point"",""coordinates"":[-114.98223077009233,54.282831023736975]}"
1710,1939,5.729953109172357,0.17234893143177032,0.299953430891037,-0.3282063901424408,5.527658939361572,7.57289240151124,34.793558200285354,0.7828465066299328,"{""type"":""Point"",""coordinates"":[-117.09602491221193,52.391914097341974]}"
1711,888,5.838565169719232,0.30753767490386963,0.3538254499435425,-0.31144508719444275,2.432077407836914,14.969596824311395,-27.59905660705966,0.2371339712683052,"{""type"":""Point"",""coordinates"":[-115.6537063025608,53.92655936650185]}"
1712,994,7.141721436851924,0.20375311374664307,0.2186749428510666,-0.31294217705726624,2.3942861557006836,15.737335568143635,101.67135068392749,0.20462642142996118,"{""type"":""Point"",""coordinates"":[-114.1829734553726,52.28084437255514]}"
1713,548,6.245441583164961,0.16880713403224945,0.2729407250881195,-0.25631141662597656,1.852411150932312,16.265838450716274,62.317107159804465,0.22456842410590874,"{""type"":""Point"",""coordinates"":[-113.25261291484824,54.67941617206337]}"
