system:index,NBR,NDVI,.geo
8932,0.23825295269489288,0.3491896390914917,"{""type"":""Point"",""coordinates"":[-115.73554002118682,53.0862179343719]}"
8933,0.20825809240341187,0.2928279936313629,"{""type"":""Point"",""coordinates"":[-116.1365753437527,52.157416733998]}"
8934,0.1293189376592636,0.3457496762275696,"{""type"":""Point"",""coordinates"":[-115.51628990854839,54.187069768441475]}"
8935,0.36380189657211304,0.4451322555541992,"{""type"":""Point"",""coordinates"":[-117.25992211548889,54.4454084850665]}"
8936,0.3193080723285675,0.37128615379333496,"{""type"":""Point"",""coordinates"":[-116.72806796341676,53.58835865844149]}"
8937,0.37198516726493835,0.5183446407318115,"{""type"":""Point"",""coordinates"":[-115.45316109646943,53.35681910141736]}"
8938,0.24676023423671722,0.34314170479774475,"{""type"":""Point"",""coordinates"":[-113.18751484112951,54.725519723684485]}"
8939,0.2222222238779068,0.35300207138061523,"{""type"":""Point"",""coordinates"":[-117.36593882733929,53.61710549873893]}"
8941,0.3637597858905792,0.4787205457687378,"{""type"":""Point"",""coordinates"":[-113.7909133167332,53.146591834722756]}"
8942,0.1902381032705307,0.322421669960022,"{""type"":""Point"",""coordinates"":[-116.6731872610192,53.5266746568274]}"
8943,0.30143672227859497,0.4169617295265198,"{""type"":""Point"",""coordinates"":[-114.84106949366077,53.60468593607062]}"
8944,0.17176871001720428,0.2530635595321655,"{""type"":""Point"",""coordinates"":[-113.72644270672748,52.32702650593349]}"
8945,0.35990503430366516,0.4499783515930176,"{""type"":""Point"",""coordinates"":[-115.04630472587719,52.74356098298123]}"
8946,0.268051415681839,0.31496307253837585,"{""type"":""Point"",""coordinates"":[-115.49158901842257,53.49913598920259]}"
8947,0.1305449903011322,0.11000153422355652,"{""type"":""Point"",""coordinates"":[-113.0708204383279,53.07584050762715]}"
8948,0.3530671000480652,0.42438703775405884,"{""type"":""Point"",""coordinates"":[-113.9490325199277,52.9413482045701]}"
8949,0.25533077120780945,0.32185205817222595,"{""type"":""Point"",""coordinates"":[-116.53692659479094,52.140404567340994]}"
8950,0.1866295337677002,0.23939809203147888,"{""type"":""Point"",""coordinates"":[-116.53781985617096,52.47014653342735]}"
8951,0.23875217139720917,0.36777055263519287,"{""type"":""Point"",""coordinates"":[-113.83527441837965,53.84136099426964]}"
8952,0.017211275175213814,0.1777535378932953,"{""type"":""Point"",""coordinates"":[-117.39536761810055,52.78334849775584]}"
8953,0.3018410801887512,0.38309216499328613,"{""type"":""Point"",""coordinates"":[-115.11113034529075,53.54096615118579]}"
8954,0.15509259700775146,0.35429614782333374,"{""type"":""Point"",""coordinates"":[-115.5571648751846,54.11767505328182]}"
8955,-0.02924944832921028,0.13491886854171753,"{""type"":""Point"",""coordinates"":[-114.9341932159965,53.561410799185715]}"
8956,0.23303671181201935,0.2900935709476471,"{""type"":""Point"",""coordinates"":[-117.38446145184297,54.067689405246945]}"
8957,0.26146790385246277,0.29939791560173035,"{""type"":""Point"",""coordinates"":[-116.46646334873796,53.36151914594855]}"
8958,0.12346920371055603,0.32325422763824463,"{""type"":""Point"",""coordinates"":[-113.23844439433394,52.678581445545944]}"
8959,0.34971150755882263,0.44785276055336,"{""type"":""Point"",""coordinates"":[-114.92950915668959,55.01728017736363]}"
8960,0.3716067969799042,0.45555371046066284,"{""type"":""Point"",""coordinates"":[-113.90690808525115,53.044616200430525]}"
8961,0.07883260399103165,0.03366983309388161,"{""type"":""Point"",""coordinates"":[-117.13053068671178,52.02198240474468]}"
8962,0.13984045386314392,0.23483146727085114,"{""type"":""Point"",""coordinates"":[-113.73352011842661,53.04874554813242]}"
8964,0.25633010268211365,0.435214638710022,"{""type"":""Point"",""coordinates"":[-115.03291664531648,52.3615195188138]}"
8965,0.39229318499565125,0.45732271671295166,"{""type"":""Point"",""coordinates"":[-117.3213812829929,54.57233819918299]}"
8966,0.2914089560508728,0.33034518361091614,"{""type"":""Point"",""coordinates"":[-116.6508414325955,54.457291459697664]}"
8967,0.21371138095855713,0.34083205461502075,"{""type"":""Point"",""coordinates"":[-113.58058360353273,53.00086019118177]}"
8968,0.3724817931652069,0.44618555903434753,"{""type"":""Point"",""coordinates"":[-116.08788573139788,54.07949501330456]}"
8969,0.33748286962509155,0.383999764919281,"{""type"":""Point"",""coordinates"":[-115.72962017695899,52.680937682740286]}"
8970,0.3089126646518707,0.391181617975235,"{""type"":""Point"",""coordinates"":[-116.45709663620514,54.85199378448475]}"
8971,0.3144230544567108,0.4111555516719818,"{""type"":""Point"",""coordinates"":[-115.92375503959124,53.823739023398836]}"
8972,0.1467864215373993,0.2668759822845459,"{""type"":""Point"",""coordinates"":[-117.38199919186657,52.815011143538854]}"
8973,0.4138418138027191,0.4923507273197174,"{""type"":""Point"",""coordinates"":[-115.69205004431683,53.19927740950382]}"
8974,0.22842809557914734,0.3397389352321625,"{""type"":""Point"",""coordinates"":[-113.92984623724098,54.676155728077596]}"
8975,0.38914310932159424,0.5087695121765137,"{""type"":""Point"",""coordinates"":[-113.37247640036865,54.62943845494704]}"
8976,0.2591410279273987,0.3505590558052063,"{""type"":""Point"",""coordinates"":[-115.84914879921457,54.52960407549294]}"
8977,0.09031941741704941,0.35295525193214417,"{""type"":""Point"",""coordinates"":[-113.44436299460452,53.414645152093904]}"
8978,0.2884869873523712,0.37356531620025635,"{""type"":""Point"",""coordinates"":[-115.89777940712325,54.64035599538279]}"
8979,0.19411537051200867,0.27460718154907227,"{""type"":""Point"",""coordinates"":[-116.37901510519426,52.22257096375837]}"
8980,0.1077100932598114,0.2344658523797989,"{""type"":""Point"",""coordinates"":[-114.12358679166954,54.48565387404094]}"
8981,0.3502427041530609,0.40651094913482666,"{""type"":""Point"",""coordinates"":[-116.30101932725285,53.36546774929987]}"
8982,0.23198847472667694,0.38742393255233765,"{""type"":""Point"",""coordinates"":[-115.23591058826844,52.607401086872024]}"
8983,0.18078890442848206,0.35452505946159363,"{""type"":""Point"",""coordinates"":[-116.13708798821614,53.70123049320539]}"
8984,0.23667602241039276,0.3491147756576538,"{""type"":""Point"",""coordinates"":[-116.15875075570513,52.611615214741974]}"
8985,0.34320178627967834,0.40508827567100525,"{""type"":""Point"",""coordinates"":[-115.57602640003891,54.42587278174443]}"
8986,-0.14368370175361633,0.0734478235244751,"{""type"":""Point"",""coordinates"":[-117.46266621869447,53.037542838841375]}"
8987,0.26333144307136536,0.28975868225097656,"{""type"":""Point"",""coordinates"":[-114.88415170304006,54.750887793265306]}"
8988,0.5760457515716553,0.5892137885093689,"{""type"":""Point"",""coordinates"":[-117.43297546747388,54.933489377626245]}"
8989,0.49033790826797485,0.42713025212287903,"{""type"":""Point"",""coordinates"":[-113.92512976894157,52.77170148698079]}"
8990,0.19123908877372742,0.3475241959095001,"{""type"":""Point"",""coordinates"":[-114.52426749219394,53.5962719721338]}"
8991,0.28633421659469604,0.3561517894268036,"{""type"":""Point"",""coordinates"":[-117.39173200498895,53.500916317080346]}"
8992,0.3997957408428192,0.4712580442428589,"{""type"":""Point"",""coordinates"":[-113.78154510933601,53.44125615675885]}"
8993,0.384188175201416,0.39477303624153137,"{""type"":""Point"",""coordinates"":[-113.25747944359567,54.44010429087703]}"
8994,0.28321364521980286,0.36240172386169434,"{""type"":""Point"",""coordinates"":[-115.84029541805495,52.82498964518394]}"
8995,0.2378312349319458,0.3592892587184906,"{""type"":""Point"",""coordinates"":[-113.6103355692518,53.44455877731421]}"
8996,0.32318657636642456,0.4558703601360321,"{""type"":""Point"",""coordinates"":[-116.59752856671696,54.312927659898506]}"
