Lat,Lon,Brightness,Confidence,Satellite,Instrument,DayNight,Timestamp
52.0072,-117.3624,334.8,88,Aqua,MODIS,D,2024-07-24 20:58:00
52.0209,-117.3462,326.9,80,Aqua,MODIS,D,2024-07-24 20:58:00
52.0167,-117.3678,352.9,97,Aqua,MODIS,D,2024-07-24 20:58:00
52.0311,-117.3479,339.4,90,Aqua,MODIS,D,2024-07-24 20:58:00
52.0264,-117.3723,368.9,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.0409,-117.3515,332.5,63,Aqua,MODIS,D,2024-07-24 20:58:00
52.0362,-117.3762,338.2,73,Aqua,MODIS,D,2024-07-24 20:58:00
52.0516,-117.4089,407.6,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.0477,-117.4284,379.6,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.0616,-117.4118,401.6,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.0572,-117.4339,364.8,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4824,-116.4736,329.0,85,Aqua,MODIS,D,2024-07-24 20:58:00
52.4794,-116.49,341.3,92,Aqua,MODIS,D,2024-07-24 20:58:00
52.4764,-116.5059,332.2,61,Aqua,MODIS,D,2024-07-24 20:58:00
52.4734,-116.5221,345.8,94,Aqua,MODIS,D,2024-07-24 20:58:00
52.4703,-116.5391,323.6,78,Aqua,MODIS,D,2024-07-24 20:58:00
52.4917,-116.4778,394.7,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4886,-116.4946,378.9,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4826,-116.5271,335.2,84,Aqua,MODIS,D,2024-07-24 20:58:00
52.4942,-116.4837,382.2,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4849,-116.5335,325.8,75,Aqua,MODIS,D,2024-07-24 20:58:00
52.5004,-116.5047,344.8,72,Aqua,MODIS,D,2024-07-24 20:58:00
52.4971,-116.522,473.2,94,Aqua,MODIS,D,2024-07-24 20:58:00
52.4437,-116.8044,331.3,72,Aqua,MODIS,D,2024-07-24 20:58:00
52.4404,-116.8218,379.8,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4376,-116.8365,359.9,99,Aqua,MODIS,D,2024-07-24 20:58:00
52.5033,-116.5429,502.0,94,Aqua,MODIS,D,2024-07-24 20:58:00
52.4497,-116.8267,344.8,80,Aqua,MODIS,D,2024-07-24 20:58:00
52.5126,-116.5473,330.8,75,Aqua,MODIS,D,2024-07-24 20:58:00
52.4779,-116.7857,399.3,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.4747,-116.8025,402.8,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.49,-116.8297,360.5,94,Aqua,MODIS,D,2024-07-24 20:58:00
52.4868,-116.8467,366.1,94,Aqua,MODIS,D,2024-07-24 20:58:00
54.4039,-116.9441,313.6,74,Aqua,MODIS,D,2024-07-27 21:22:00
52.4771,-116.5008,312.9,86,Terra,MODIS,N,2024-08-01 04:28:00
52.2035,-116.0968,319.8,94,Terra,MODIS,N,2024-08-01 04:28:00
52.2003,-116.114,317.7,95,Terra,MODIS,N,2024-08-01 04:28:00
52.4676,-116.4963,306.9,70,Terra,MODIS,N,2024-08-01 04:28:00
52.1908,-116.0545,321.1,85,Terra,MODIS,N,2024-08-01 04:28:00
52.4644,-116.5133,316.0,92,Terra,MODIS,N,2024-08-01 04:28:00
52.2002,-116.0588,320.5,94,Terra,MODIS,N,2024-08-01 04:28:00
52.2005,-116.1237,322.0,64,Terra,MODIS,D,2024-08-01 17:58:00
52.1839,-116.0641,339.7,68,Terra,MODIS,D,2024-08-01 17:58:00
52.4678,-116.5056,321.5,78,Terra,MODIS,D,2024-08-01 17:58:00
52.2086,-116.0465,462.1,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2067,-116.0625,456.4,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2048,-116.0787,408.1,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2029,-116.0951,439.7,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.201,-116.1111,443.9,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1992,-116.1265,375.4,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2197,-116.0334,337.5,89,Aqua,MODIS,D,2024-08-01 21:28:00
52.2179,-116.0492,444.8,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.216,-116.0651,495.0,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2141,-116.0812,481.4,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2122,-116.0976,505.9,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2103,-116.1134,501.9,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.2084,-116.1298,324.0,70,Aqua,MODIS,D,2024-08-01 21:28:00
52.2253,-116.0679,335.8,88,Aqua,MODIS,D,2024-08-01 21:28:00
52.2215,-116.0999,335.8,75,Aqua,MODIS,D,2024-08-01 21:28:00
52.2196,-116.1162,329.5,64,Aqua,MODIS,D,2024-08-01 21:28:00
52.4536,-116.4759,313.3,65,Aqua,MODIS,D,2024-08-01 21:28:00
52.4518,-116.4914,315.7,70,Aqua,MODIS,D,2024-08-01 21:28:00
52.4628,-116.4786,435.1,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.4609,-116.4944,465.5,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.459,-116.5099,336.6,89,Aqua,MODIS,D,2024-08-01 21:28:00
52.4678,-116.4854,421.6,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.4659,-116.5013,396.2,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.477,-116.4882,384.7,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.475,-116.5045,410.2,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.4731,-116.5207,349.7,82,Aqua,MODIS,D,2024-08-01 21:28:00
52.4712,-116.5361,356.2,98,Aqua,MODIS,D,2024-08-01 21:28:00
52.4988,-116.5448,355.6,93,Aqua,MODIS,D,2024-08-01 21:28:00
52.5226,-116.5048,337.8,89,Aqua,MODIS,D,2024-08-01 21:28:00
52.5207,-116.5204,356.3,98,Aqua,MODIS,D,2024-08-01 21:28:00
52.0152,-117.3143,326.8,82,Aqua,MODIS,D,2024-08-01 21:28:00
52.1827,-116.0212,340.5,91,Aqua,MODIS,D,2024-08-01 21:28:00
52.1808,-116.0376,445.9,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1789,-116.0539,432.3,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.177,-116.0702,439.9,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.175,-116.087,448.3,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.192,-116.024,327.4,77,Aqua,MODIS,D,2024-08-01 21:28:00
52.1901,-116.0403,404.7,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1882,-116.0566,359.1,99,Aqua,MODIS,D,2024-08-01 21:28:00
52.1862,-116.073,344.3,78,Aqua,MODIS,D,2024-08-01 21:28:00
52.1843,-116.0896,367.5,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1824,-116.106,339.6,85,Aqua,MODIS,D,2024-08-01 21:28:00
52.2012,-116.0271,390.1,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1993,-116.0435,463.2,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1974,-116.0596,406.8,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1955,-116.0759,370.2,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1936,-116.0924,406.0,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1917,-116.1082,399.3,100,Aqua,MODIS,D,2024-08-01 21:28:00
52.1898,-116.1241,351.4,96,Aqua,MODIS,D,2024-08-01 21:28:00
52.2105,-116.0303,347.5,94,Aqua,MODIS,D,2024-08-01 21:28:00
52.179,-115.9957,325.8,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1772,-116.0151,370.9,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1753,-116.0348,365.4,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1734,-116.0547,350.4,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1715,-116.0742,339.1,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1694,-116.0956,358.6,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1765,-116.002,309.5,78,Terra,MODIS,N,2024-08-02 05:08:00
52.1747,-116.0215,361.8,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1729,-116.0413,342.6,94,Terra,MODIS,N,2024-08-02 05:08:00
52.1884,-115.9848,352.8,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1866,-116.0041,388.1,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1848,-116.0238,359.0,100,Terra,MODIS,N,2024-08-02 05:08:00
52.183,-116.0434,343.2,92,Terra,MODIS,N,2024-08-02 05:08:00
52.1812,-116.063,342.5,81,Terra,MODIS,N,2024-08-02 05:08:00
52.1794,-116.0831,379.0,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1774,-116.104,420.9,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1985,-115.9874,334.5,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1968,-116.0068,334.5,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1877,-116.1046,446.0,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1859,-116.1243,425.6,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2105,-115.9704,343.6,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2086,-115.9903,419.5,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2068,-116.0098,361.5,100,Terra,MODIS,N,2024-08-02 05:08:00
52.1961,-116.1249,333.5,73,Terra,MODIS,N,2024-08-02 05:08:00
52.2206,-115.9738,317.8,96,Terra,MODIS,N,2024-08-02 05:08:00
52.2188,-115.9932,403.2,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2169,-116.0127,370.0,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2151,-116.0322,339.9,93,Terra,MODIS,N,2024-08-02 05:08:00
52.2288,-115.9962,307.9,73,Terra,MODIS,N,2024-08-02 05:08:00
52.227,-116.0158,349.3,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2252,-116.035,337.2,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2372,-116.0179,326.1,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2353,-116.0372,337.9,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2335,-116.0563,354.5,100,Terra,MODIS,N,2024-08-02 05:08:00
52.2318,-116.0745,338.1,100,Terra,MODIS,N,2024-08-02 05:08:00
52.4455,-116.3831,346.6,100,Terra,MODIS,N,2024-08-02 05:08:00
52.4438,-116.401,342.9,98,Terra,MODIS,N,2024-08-02 05:08:00
52.442,-116.4198,327.6,100,Terra,MODIS,N,2024-08-02 05:08:00
52.4554,-116.3857,335.1,100,Terra,MODIS,N,2024-08-02 05:08:00
52.4483,-116.4599,324.5,77,Terra,MODIS,N,2024-08-02 05:08:00
52.4682,-116.4656,321.8,75,Terra,MODIS,N,2024-08-02 05:08:00
52.4764,-116.4861,318.0,89,Terra,MODIS,N,2024-08-02 05:08:00
52.1744,-116.0667,343.9,96,Aqua,MODIS,N,2024-08-02 10:58:00
52.2126,-115.9845,328.7,76,Aqua,MODIS,N,2024-08-02 10:58:00
52.2348,-116.0521,367.0,100,Terra,MODIS,D,2024-08-02 18:38:00
